,doi,title,authors,year,publicationName,url,citedby-count
0,10.1080/00087041.2022.2097759,Designing Metaphorical Multivariate Symbols to Optimize Dockless Bike Sharing,Wu M.,2022,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85138239998,0
1,10.1179/1743277414Y.0000000096,Exhibiting the exhibitors: Spatial visualization for heterogeneous cinema venue data,Arrowsmith C.,2014,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/84920104617,5
2,10.1179/1743277412Y.0000000025,Effective graphic features for multivariate symbol mapping,Vasan C.A.,February 2013,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/84875885494,1
3,10.1179/1743277412Y.0000000016,IconMap-based visualisation technique and its application in soil fertility analysis,Zhang X.,August 2012,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/84867739314,1
