,doi,title,authors,year,publicationName,url,citedby-count
0,10.1080/15230406.2023.2264752,A comparison of performance using extrinsic and intrinsic bivariate cartographic visualizations with respect to cognitive style in experienced map users,Stachoň Z.,2023,Cartography and Geographic Information Science,https://api.elsevier.com/content/abstract/scopus_id/85176965047,0
1,10.1080/15230406.2015.1065762,Enabling geovisual analytics of health data using a server-side approach,Turdukulov U.,1 January 2016,Cartography and Geographic Information Science,https://api.elsevier.com/content/abstract/scopus_id/84947611708,4
2,10.1080/15230406.2014.953585,Do choropleth maps linked with parallel coordinates facilitate an understanding of multivariate spatial characteristics?,Opach T.,30 October 2014,Cartography and Geographic Information Science,https://api.elsevier.com/content/abstract/scopus_id/85027921868,11
3,10.1080/15230406.2013.762138,Assessment of regression kriging for spatial interpolation - Comparisons of seven GIS interpolation methods,Meng Q.,2013,Cartography and Geographic Information Science,https://api.elsevier.com/content/abstract/scopus_id/84878580238,117
