,doi,title,authors,year,publicationName,url,citedby-count
0,10.1080/00087041.2016.1168141,Cartographic Design and Usability of Visual Variables for Linear Features,Kubíček P.,2 January 2017,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/84978516388,29
1,10.1179/1743277414Y.0000000096,Exhibiting the exhibitors: Spatial visualization for heterogeneous cinema venue data,Arrowsmith C.,2014,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/84920104617,5
2,10.1179/1743277412Y.0000000025,Effective graphic features for multivariate symbol mapping,Vasan C.A.,February 2013,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/84875885494,1
3,10.1179/1743277412Y.0000000016,IconMap-based visualisation technique and its application in soil fertility analysis,Zhang X.,August 2012,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/84867739314,1
