,doi,title,authors,year,publicationName,url,citedby-count
0,10.14714/CP101.1767,Multivalent Cartographic Accessibility: Tactile Maps for Collaborative Decision-Making,Cole H.,12 June 2023,Cartographic Perspectives,https://api.elsevier.com/content/abstract/scopus_id/85162783240,1
1,10.14714/CP95.1569,Exploratory bivariate and multivariate geovisualizations of a social vulnerability index,Strode G.,2020,Cartographic Perspectives,https://api.elsevier.com/content/abstract/scopus_id/85088260559,6
2,10.14714/CP94.1538,Operationalizing trumbo’s principles of bivariate choropleth map design,Strode G.,2019,Cartographic Perspectives,https://api.elsevier.com/content/abstract/scopus_id/85083696627,4
