,doi,title,authors,year,publicationName,url,citedby-count
0,10.3390/ijgi11110574,Field Cognitive Styles on Visual Cognition in the Event Structure Design of Bivariate Interactive Dorling Cartogram—The Similarities and Differences of Field-Independent and Field-Dependent Users,Zhu Y.,November 2022,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85149497154,0
1,10.3390/ijgi10040213,On the use of ‘glyphmaps’ for analysing the scale and temporal spread of COVID-19 reported cases,Beecham R.,April 2021,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85106465822,2
2,10.3390/ijgi8120559,Visualization of pedestrian density dynamics using data extracted from public webcams,Petrasova A.,5 December 2019,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85077195455,8
3,10.3390/ijgi7120475,A framework for visual analytics of spatio-temporal sensor observations from data streams,Sibolla B.H.,11 December 2018,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85061401436,10
