,doi,title,authors,year,publicationName,url,citedby-count
0,10.1080/13658816.2015.1080830,Storage-efficient method for generating contours focusing on roundness,Goto H.,1 February 2016,International Journal of Geographical Information Science,https://api.elsevier.com/content/abstract/scopus_id/84948092219,3
1,10.1080/13658816.2014.926365,Visualising continuous intra-landscape isolation with uncertainty using least-cost modelling based catchment areas: common brushtail possums in the Auckland isthmus,Etherington T.,2 January 2016,International Journal of Geographical Information Science,https://api.elsevier.com/content/abstract/scopus_id/84946148117,7
2,10.1080/13658816.2015.1042380,A method for discovery and analysis of temporal patterns in complex event data,Peuquet D.J.,2 September 2015,International Journal of Geographical Information Science,https://api.elsevier.com/content/abstract/scopus_id/84941259848,17
3,10.1080/13658816.2010.510800,Assessing the quality of geoscientific simulation models with visual analytics methods - a design study,Dransch D.,2010,International Journal of Geographical Information Science,https://api.elsevier.com/content/abstract/scopus_id/77957930262,19
